year, stock allocation
1975, 1
1976, 1
1977, 1
1978, 1
1979, 1
1980, 1
1981, 1
1982, 1
1983, 1
1984, 1
1985, 1
1986, 1
1987, 1
1988, 1
1989, 1
1990, 1
1991, 1
1992, 1
1993, 0.9872286079182631
1994, 0.9461492924933641
1995, 0.9911664324432845
1996, 0.8376645522133551
1997, 0.7470583769832233
1998, 0.710903282693225
1999, 0.7109722172043789
2000, 0.7112101018706365
2001, 0.7104135294799028
2002, 0.7118840621466078
2003, 0.8955886191594884
2004, 0.7648521500218726
2005, 0.7907189075463459
2006, 0.79282243409624
2007, 0.7735410515735913
2008, 0.8596540227276694
2009, 1
2010, 0.9792303472058939
2011, 0.8934439418590099
2012, 0.95382120026715
2013, 0.9293404488740958
2014, 0.8371954743021766
2015, 0.7938586391176261
2016, 0.8558231521990394
2017, 0.7559794126551619
2018, 0.7136721546170366
2019, 0.7479149589008129
