Year,Inflation,Stock Index,10-Year Tr.,CAPE Ratio,FED Funds Rate
1975,6.94%,36.95%,5.52%,8.92,10.50
1976,4.86%,24.18%,15.29%,11.19,5.82
1977,6.70%,-7.84%,0.53%,11.44,5.05
1978,9.02%,5.87%,-0.74%,9.24,5.54
1979,13.29%,18.05%,1.83%,9.26,7.93
1980,12.52%,31.92%,-1.29%,8.85,11.19
1981,8.92%,-5.21%,5.28%,9.26,13.36
1982,3.83%,20.97%,39.57%,7.39,16.38
1983,3.79%,21.29%,2.30%,8.76,12.26
1984,3.95%,6.21%,14.87%,9.89,9.09
1985,3.80%,31.23%,29.85%,10,10.23
1986,1.10%,18.06%,21.35%,11.72,8.10
1987,4.43%,4.71%,-2.64%,14.92,6.81
1988,4.42%,16.22%,6.90%,13.9,6.66
1989,4.65%,31.36%,17.84%,15.09,7.57
1990,6.11%,-3.32%,7.70%,17.05,9.22
1991,3.06%,30.22%,18.91%,15.61,8.10
1992,2.90%,7.42%,7.23%,19.77,5.69
1993,2.75%,9.89%,12.97%,20.32,3.52
1994,2.67%,1.18%,-7.19%,21.41,3.02
1995,2.54%,37.45%,25.55%,20.22,4.20
1996,3.32%,22.88%,0.00%,24.76,5.84
1997,1.70%,33.19%,11.97%,28.33,5.30
1998,1.61%,28.62%,14.64%,32.86,5.46
1999,2.68%,21.07%,-7.83%,40.57,5.35
2000,3.39%,-9.06%,17.28%,43.77,4.97
2001,1.55%,-12.02%,5.40%,36.98,6.24
2002,2.38%,-22.15%,15.45%,30.28,3.89
2003,1.88%,28.50%,0.15%,22.9,1.67
2004,3.26%,10.74%,4.50%,27.66,1.13
2005,3.42%,4.77%,3.01%,26.59,1.35
2006,2.54%,15.64%,2.19%,26.47,3.21
2007,4.08%,5.39%,10.42%,27.21,4.96
2008,0.09%,-37.02%,20.53%,24.02,5.02
2009,2.72%,26.49%,-10.17%,15.17,1.93
2010,1.50%,14.91%,7.92%,20.53,0.16
2011,2.96%,1.97%,16.24%,22.98,0.18
2012,1.74%,15.82%,2.73%,21.21,0.10
2013,1.50%,32.18%,-8.57%,21.9,0.14
2014,0.76%,13.51%,10.63%,24.86,0.11
2015,0.73%,1.25%,1.12%,26.49,0.09
2016,2.07%,11.82%,1.00%,24.21,0.13
2017,2.11%,21.67%,2.39%,28.06,0.40
2018,1.91%,-4.53%,0.99%,33.31,1.00
2019,2.29%,31.33%,8.03%,28.38,1.83
