year, inflation, bonds, stocks, allocator
1975, 1, 1, 1, 1
1976, 1, 1, 1, 1
1977, 1, 1, 0.9216000000000001, 0.9216000000000001
1978, 1, 0.9926, 0.97569792, 0.97569792
1979, 1, 1, 1, 1
1980, 1, 0.9870999999999999, 1, 1
1981, 1, 1, 0.9479, 0.9479
1982, 1, 1, 1, 1
1983, 1, 1, 1, 1
1984, 1, 1, 1, 1
1985, 1, 1, 1, 1
1986, 1, 1, 1, 1
1987, 1, 0.9736, 1, 1
1988, 1, 1, 1, 1
1989, 1, 1, 1, 1
1990, 1, 1, 0.9668, 0.9668
1991, 1, 1, 1, 1
1992, 1, 1, 1, 1
1993, 1, 1, 1, 1
1994, 1, 0.9281, 1, 1
1995, 1, 1, 1, 1
1996, 1, 1, 1, 1
1997, 1, 1, 1, 1
1998, 1, 1, 1, 1
1999, 1, 0.9217000000000001, 1, 1
2000, 1, 1, 0.9094, 0.9854672591672744
2001, 1, 1, 0.80009012, 0.9167269396712406
2002, 1, 1, 0.6228701584199999, 0.8129824119181083
2003, 1, 1, 0.8003881535697, 1
2004, 1, 1, 0.8863498412630857, 1
2005, 1, 1, 0.928628728691335, 1
2006, 1, 1, 1, 1
2007, 1, 1, 1, 1
2008, 1, 1, 0.6297999999999999, 0.7105691099202263
2009, 1, 0.8983, 0.7966340199999999, 0.8987988671380941
2010, 1, 0.9694453599999999, 0.9154121523819998, 1
2011, 1, 1, 0.9334457717839253, 1
2012, 1, 1, 1, 1
2013, 1, 0.9143000000000001, 1, 1
2014, 1, 1, 1, 1
2015, 1, 1, 1, 1
2016, 1, 1, 1, 1
2017, 1, 1, 1, 1
2018, 1, 1, 0.9547, 0.9705052970651395
2019, 1, 1, 1, 1
